Unnamed: 0,formation_energy_per_atom,band_gap,pretty_formula,e_above_hull,elements,cif,spacegroup.number,ind,mi-eff N,mi-eff P,Seebeck,Powerfactor
mp-1006278,-0.7768430193750007,0.0,AcEuAu2,0.0,"['Ac', 'Au', 'Eu']","# generated using pymatgen
data_AcEuAu2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.49119186
_cell_length_b   5.49119186
_cell_length_c   5.49119186
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AcEuAu2
_chemical_formula_sum   'Ac1 Eu1 Au2'
_cell_volume   117.08057751
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ac  Ac0  1  0.50000000  0.50000000  0.50000000  1
  Eu  Eu1  1  0.00000000  0.00000000  0.00000000  1
  Au  Au2  1  0.75000000  0.75000000  0.75000000  1
  Au  Au3  1  0.25000000  0.25000000  0.25000000  1
",225,0,,,,
mp-1025377,-0.4269006495238095,2.0050000000000003,Cd(AgI2)2,0.0,"['Cd', 'Ag', 'I']","# generated using pymatgen
data_Cd(AgI2)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.97838953
_cell_length_b   7.97838953
_cell_length_c   7.97838953
_cell_angle_alpha   131.29096965
_cell_angle_beta   131.29096965
_cell_angle_gamma   71.35119519
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Cd(AgI2)2
_chemical_formula_sum   'Cd1 Ag2 I4'
_cell_volume   280.63205282
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cd  Cd0  1  0.00000000  0.00000000  0.00000000  1
  Ag  Ag1  1  0.75000000  0.25000000  0.50000000  1
  Ag  Ag2  1  0.25000000  0.75000000  0.50000000  1
  I  I3  1  0.86061500  0.37787700  0.00000000  1
  I  I4  1  0.37787700  0.86061500  0.00000000  1
  I  I5  1  0.13938500  0.13938500  0.51726200  1
  I  I6  1  0.62212300  0.62212300  0.48273800  1
",121,1,,,,
mp-1068053,-0.6164224426666663,0.0,Ca2AgPd2,0.0,"['Ag', 'Ca', 'Pd']","# generated using pymatgen
data_Ca2AgPd2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.63318097
_cell_length_b   5.63318097
_cell_length_c   5.63318097
_cell_angle_alpha   132.56841973
_cell_angle_beta   117.31982841
_cell_angle_gamma   82.21667667
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ca2AgPd2
_chemical_formula_sum   'Ca2 Ag1 Pd2'
_cell_volume   112.70126935
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ca  Ca0  1  0.70214000  0.20214000  0.50000000  1
  Ca  Ca1  1  0.29786000  0.79786000  0.50000000  1
  Ag  Ag2  1  0.00000000  0.00000000  0.00000000  1
  Pd  Pd3  1  0.73103000  0.50000000  0.23103000  1
  Pd  Pd4  1  0.26897000  0.50000000  0.76897000  1
",71,2,,,,
mp-1071555,-0.5900836933333332,0.0,YbAgBi,0.0,"['Ag', 'Bi', 'Yb']","# generated using pymatgen
data_YbAgBi
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.87814432
_cell_length_b   4.87814432
_cell_length_c   7.82133700
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000438
_symmetry_Int_Tables_number   1
_chemical_formula_structural   YbAgBi
_chemical_formula_sum   'Yb2 Ag2 Bi2'
_cell_volume   161.18361857
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Yb  Yb0  1  0.00000000  0.00000000  0.25081300  1
  Yb  Yb1  1  0.00000000  0.00000000  0.75081300  1
  Ag  Ag2  1  0.33333300  0.66666700  0.43114600  1
  Ag  Ag3  1  0.66666700  0.33333300  0.93114600  1
  Bi  Bi4  1  0.33333300  0.66666700  0.03404100  1
  Bi  Bi5  1  0.66666700  0.33333300  0.53404100  1
",186,3,,,,
mp-1071876,-0.5163491894444446,0.0,CaAgBi,0.0456030116666661,"['Ag', 'Bi', 'Ca']","# generated using pymatgen
data_CaAgBi
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.91725410
_cell_length_b   4.91725410
_cell_length_c   8.05803400
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000139
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CaAgBi
_chemical_formula_sum   'Ca2 Ag2 Bi2'
_cell_volume   168.73494098
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ca  Ca0  1  0.00000000  0.00000000  0.50000000  1
  Ca  Ca1  1  0.00000000  0.00000000  0.00000000  1
  Ag  Ag2  1  0.33333300  0.66666700  0.25000000  1
  Ag  Ag3  1  0.66666700  0.33333300  0.75000000  1
  Bi  Bi4  1  0.33333300  0.66666700  0.75000000  1
  Bi  Bi5  1  0.66666700  0.33333300  0.25000000  1
",194,4,,,,
mp-1077578,-0.3960066294444442,0.0,CeGaAg,0.0,"['Ag', 'Ce', 'Ga']","# generated using pymatgen
data_CeGaAg
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.86308925
_cell_length_b   5.86308925
_cell_length_c   5.86308925
_cell_angle_alpha   133.23908665
_cell_angle_beta   104.08874540
_cell_angle_gamma   94.10194261
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CeGaAg
_chemical_formula_sum   'Ce2 Ga2 Ag2'
_cell_volume   134.06921610
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ce  Ce0  1  0.06826900  0.06826900  0.00000000  1
  Ce  Ce1  1  0.50383800  0.00383800  0.50000000  1
  Ga  Ga2  1  0.50328000  0.70040900  0.80287200  1
  Ga  Ga3  1  0.89753700  0.70040900  0.19712800  1
  Ag  Ag4  1  0.08115600  0.37016100  0.71099400  1
  Ag  Ag5  1  0.65916700  0.37016100  0.28900600  1
",44,5,,,,
mp-1080480,-0.5016364770833333,0.0,CeSi2Ag,0.0,"['Ag', 'Ce', 'Si']","# generated using pymatgen
data_CeSi2Ag
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   9.09650077
_cell_length_b   9.09650077
_cell_length_c   4.21654200
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   153.35363848
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CeSi2Ag
_chemical_formula_sum   'Ce2 Si4 Ag2'
_cell_volume   156.47703598
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ce  Ce0  1  0.59501900  0.40498100  0.25000000  1
  Ce  Ce1  1  0.40498100  0.59501900  0.75000000  1
  Si  Si2  1  0.96862400  0.03137600  0.25000000  1
  Si  Si3  1  0.03137600  0.96862400  0.75000000  1
  Si  Si4  1  0.83782300  0.16217700  0.25000000  1
  Si  Si5  1  0.16217700  0.83782300  0.75000000  1
  Ag  Ag6  1  0.25165100  0.74834900  0.25000000  1
  Ag  Ag7  1  0.74834900  0.25165100  0.75000000  1
",63,6,,,,
mp-1080547,-0.133100866111111,0.0,CeMgAg,0.0350810894444451,"['Ag', 'Ce', 'Mg']","# generated using pymatgen
data_CeMgAg
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.88576987
_cell_length_b   7.88576987
_cell_length_c   4.36336700
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   119.99999892
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CeMgAg
_chemical_formula_sum   'Ce3 Mg3 Ag3'
_cell_volume   234.98523630
_cell_formula_units_Z   3
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ce  Ce0  1  0.41599900  0.00000000  0.50000000  1
  Ce  Ce1  1  0.00000000  0.41599900  0.50000000  1
  Ce  Ce2  1  0.58400100  0.58400100  0.50000000  1
  Mg  Mg3  1  0.76005200  0.00000000  0.00000000  1
  Mg  Mg4  1  0.00000000  0.76005200  0.00000000  1
  Mg  Mg5  1  0.23994800  0.23994800  0.00000000  1
  Ag  Ag6  1  0.33333300  0.66666700  0.00000000  1
  Ag  Ag7  1  0.66666700  0.33333300  0.00000000  1
  Ag  Ag8  1  0.00000000  0.00000000  0.50000000  1
",189,7,,,,
mp-10816,-0.7691323908333327,0.0,NdAgAs2,0.0042737712500002,"['Ag', 'As', 'Nd']","# generated using pymatgen
data_NdAgAs2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.06591600
_cell_length_b   4.06591600
_cell_length_c   10.65990600
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NdAgAs2
_chemical_formula_sum   'Nd2 Ag2 As4'
_cell_volume   176.22607934
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nd  Nd0  1  0.00000000  0.50000000  0.27061200  1
  Nd  Nd1  1  0.50000000  0.00000000  0.72938800  1
  Ag  Ag2  1  0.50000000  0.50000000  0.00000000  1
  Ag  Ag3  1  0.00000000  0.00000000  0.00000000  1
  As  As4  1  0.00000000  0.50000000  0.82119100  1
  As  As5  1  0.50000000  0.00000000  0.17880900  1
  As  As6  1  0.50000000  0.50000000  0.50000000  1
  As  As7  1  0.00000000  0.00000000  0.50000000  1
",129,8,,,,
mp-1096838,-1.4090840268333331,1.7273999999999998,Ba(AgO)2,0.0,"['Ag', 'Ba', 'O']","# generated using pymatgen
data_Ba(AgO)2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.90744634
_cell_length_b   6.90744634
_cell_length_c   6.90744634
_cell_angle_alpha   128.50389191
_cell_angle_beta   128.50389191
_cell_angle_gamma   75.81015318
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ba(AgO)2
_chemical_formula_sum   'Ba2 Ag4 O4'
_cell_volume   196.29753037
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ba  Ba0  1  0.50000000  0.50000000  0.00000000  1
  Ba  Ba1  1  0.25000000  0.75000000  0.50000000  1
  Ag  Ag2  1  0.37500000  0.12500000  0.25000000  1
  Ag  Ag3  1  0.87500000  0.12500000  0.25000000  1
  Ag  Ag4  1  0.87500000  0.62500000  0.75000000  1
  Ag  Ag5  1  0.87500000  0.12500000  0.75000000  1
  O  O6  1  0.01002000  0.51002000  0.50000000  1
  O  O7  1  0.26002000  0.26002000  0.00000000  1
  O  O8  1  0.73998000  0.73998000  0.00000000  1
  O  O9  1  0.48998000  0.98998000  0.50000000  1
",141,9,,,,
